AC233960.1_FG002	AC233960.1_FG003	GRMZM2G021270	GRMZM2G034876	GRMZM2G035213	GRMZM2G046909	GRMZM2G092749	GRMZM2G092959	GRMZM2G108087	GRMZM2G108829	GRMZM2G108996	GRMZM2G150363	GRMZM2G150374	GRMZM2G167431	GRMZM2G179147	GRMZM2G181637	GRMZM2G317738	GRMZM2G325001	GRMZM2G325019	GRMZM2G325038	GRMZM2G339499	GRMZM2G347836	GRMZM5G861093
-2.104600628	1.044626445	2.045954276	-0.539308633	-1.105318189	1.790524917	-0.547203211	-0.611662814	0.279460686	0.307908216	1.403975696	0.119484771	0.037471962	-0.315058297	-0.976525035	-0.394875486	0.343824517	-0.696025208	0.417065588	-0.794970891	-0.322224522	0.563095926	-2.104600628
-0.892205847	0.508057465	0.758136008	1.825439172	-0.539308633	1.403975696	-0.133217035	0.078412413	0.315058297	0.272384894	0.402250065	0.965610478	0.358313528	0.611662814	1.825439172	0.678771572	1.130769373	0.74010031	0.713488578	0.307908216	-1.862731867	-1.591873889	1.351202935
-1.568142731	-1.441453795	0.409646587	-0.6448541	-0.484942137	-0.030656506	-0.6448541	-0.35105981	-0.776421761	0.446977502	-0.195363108	-2.045954276	-1.117953259	-1.080563549	-0.619896262	-0.202310601	-1.460977052	1.501786817	0.023842473	-0.336607179	1.255660378	-0.902393588	-0.237202109
-1.056453949	-0.579132162	-0.74010031	0.785662535	0.037471962	1.993601218	-1.33442315	-1.068431117	1.021399468	0.402250065	-0.91267586	-0.146974467	-0.531447525	-0.272384894	-0.167663737	0.064754379	-0.358313528	0.976525035	0.402250065	0.078412413	-0.133217035	0.037471962	-2.045954276
0.804348643	0.279460686	-1.993601218	1.523165155	0.653262666	-1.902810954	-2.171527717	-2.468001988	-1.286210621	-2.104600628	0.722302208	2.468001988	-0.469675385	-0.064754379	-0.322224522	0.477294855	-1.642224543	-0.813797671	-0.619896262	0.293654744	0.372878156	0.202310601	0.500322766
-0.872103029	1.080563549	-2.045954276	0.251237576	-0.579132162	-0.469675385	-0.619896262	0.307908216	0.003405752	-0.244213829	-0.387522319	-1.993601218	-1.143773961	-1.032943298	-0.051108415	-0.329407333	-0.35105981	-0.223213218	-1.009990169	0.258273739	0.329407333	0.140092436	0.126347925
-1.403975696	0.785662535	-0.402250065	0.409646587	0.112627241	-0.387522319	0.954809756	-0.902393588	-0.758136008	-1.862731867	1.117953259	0.704730028	-0.223213218	1.993601218	1.130769373	0.776421761	-1.092857156	0.998710851	-0.209267873	1.255660378	1.790524917	-0.037471962	-0.037471962
1.255660378	0.758136008	-0.579132162	2.345104662	1.385954264	1.211918765	0.500322766	-1.080563549	-0.237202109	-0.017029548	0.010217413	-1.946202375	0.329407333	0.216235289	0.944119285	-0.071581727	0.923055543	0.571095686	-0.230202032	0.794970891	-0.167663737	-0.477294855	-1.993601218
0.882109877	0.244213829	-0.595318735	-0.944119285	0.785662535	-0.872103029	-0.704730028	-1.642224543	0.064754379	-0.944119285	0.446977502	0.244213829	1.993601218	-0.823319923	0.696025208	0.119484771	-0.492617885	0.51582268	-0.343824517	0.409646587	-0.265322712	-0.83291742	0.071581727
0.7490877	1.318010897	-0.804348643	-0.492617885	2.249880663	-0.119484771	0.279460686	-0.713488578	-0.365586148	0.119484771	-0.603470624	0.237202109	1.568142731	0.7490877	0.579132162	-0.343824517	-0.424507616	1.669043821	1.403975696	-1.993601218	-1.825439172	-1.862731867	0.424507616
-1.946202375	1.993601218	1.523165155	-0.078412413	2.468001988	0.387522319	0.842592259	0.112627241	1.616536998	1.184000049	0.387522319	-1.902810954	-0.653262666	0.882109877	1.226239142	1.270787244	0.446977502	1.568142731	-0.251237576	0.74010031	0.300773842	-0.872103029	0.133217035
-2.171527717	0.462083086	1.946202375	-0.595318735	1.946202375	0.140092436	0.563095926	0.167663737	1.032943298	0.174575701	-0.105775004	-1.862731867	-0.923055543	-1.130769373	-0.539308633	0.965610478	0.45451733	1.697120332	0.523619123	-0.776421761	0.563095926	-0.462083086	-1.946202375
-2.468001988	-0.547203211	1.825439172	-0.230202032	1.117953259	-1.211918765	0.237202109	-0.462083086	0.804348643	-0.202310601	0.595318735	-1.825439172	-0.670220259	-0.998710851	-0.713488578	0.044289159	-0.237202109	1.068431117	-0.998710851	0.010217413	0.902393588	-1.33442315	-1.902810954
-1.422465003	0.477294855	1.441453795	0.933535639	0.531447525	0.523619123	0.758136008	-0.358313528	-1.422465003	-0.43197323	0.7490877	-1.790524917	-0.146974467	1.523165155	0.678771572	0.944119285	0.146974467	0.628171949	0.954809756	1.568142731	2.345104662	0.539308633	0.010217413
-2.249880663	0.547203211	1.568142731	0.380190046	-0.944119285	-0.244213829	0.636490883	1.523165155	-1.240815502	-0.209267873	0.160759774	-0.258273739	1.170380633	1.568142731	-0.794970891	-1.757666049	1.946202375	2.998020796	1.351202935	-1.642224543	-1.790524917	0.300773842	2.104600628
1.184000049	0.531447525	0.160759774	-1.726602201	-0.146974467	-0.842592259	0.933535639	2.645701413	1.946202375	1.523165155	0.484942137	-0.251237576	2.045954276	1.616536998	-0.636490883	1.143773961	0.933535639	1.441453795	0.661717677	0.279460686	-0.030656506	0.098927729	-0.439462999
