GRMZM2G132577	GRMZM2G700683	GRMZM2G106479	GRMZM2G136765	GRMZM2G409343	GRMZM5G852338	GRMZM2G170628	GRMZM2G170632	GRMZM2G116083	GRMZM2G013448	GRMZM5G851965	GRMZM2G012966	GRMZM2G165428	AC196426.3_FG007	GRMZM2G096655	GRMZM2G395771	GRMZM2G096764	GRMZM2G050553	GRMZM2G027333
1.862731867	-0.508057465	1.117953259	0.892205847	-0.852346618	-0.244213829	-0.071581727	0.037471962	1.170380633	1.33442315	0.563095926	-0.547203211	-0.539308633	0.003405752	0.539308633	0.872103029	0.35105981	0.571095686	-0.003405752
0.372878156	-1.726602201	-0.976525035	0.579132162	-0.35105981	-0.823319923	-0.315058297	0.653262666	1.669043821	1.240815502	-1.993601218	-0.813797671	-1.197842699	0.258273739	-1.460977052	0.678771572	0.462083086	-1.255660378	-1.105318189
-0.51582268	0.188425032	-0.628171949	1.946202375	0.153863466	-0.078412413	0.126347925	-0.153863466	0.322224522	-0.539308633	0.372878156	0.555132042	-0.402250065	-0.579132162	-0.315058297	-1.697120332	0.272384894	0.085246759	-1.523165155
0.064754379	-0.43197323	-0.030656506	0.704730028	-1.902810954	-1.403975696	-0.862182757	0.713488578	0.45451733	0.140092436	0.126347925	-0.209267873	-0.944119285	-0.057930049	0.51582268	0.365586148	1.385954264	0.380190046	0.133217035
0.216235289	-1.545263217	-0.329407333	-0.91267586	-2.468001988	-1.318010897	0.83291742	0.126347925	0.842592259	0.133217035	-0.272384894	-0.051108415	0.044289159	-1.568142731	0.882109877	-1.669043821	-1.697120332	-0.523619123	0.003405752
-0.003405752	-0.409646587	1.270787244	0.023842473	-0.704730028	-0.842592259	0.882109877	-1.642224543	-0.133217035	0.064754379	-1.946202375	-0.146974467	0.09208509	-0.823319923	-0.322224522	-0.057930049	1.286210621	-0.722302208	-1.211918765
-0.523619123	0.286550499	-0.579132162	-1.240815502	-1.501786817	-1.946202375	-0.785662535	0.998710851	0.477294855	-0.500322766	0.579132162	-1.351202935	-1.33442315	-0.603470624	1.422465003	0.146974467	0.258273739	0.785662535	0.539308633
1.197842699	-1.092857156	-0.965610478	-0.670220259	-1.669043821	-1.460977052	2.171527717	-0.322224522	-0.09208509	0.209267873	0.500322766	0.603470624	0.300773842	-1.422465003	0.387522319	-0.010217413	-0.044289159	0.987557182	0.823319923
0.272384894	-2.345104662	-1.862731867	1.184000049	-1.48107362	-1.056453949	-2.171527717	2.998020796	0.767246816	0.987557182	0.402250065	-1.211918765	-1.862731867	-1.790524917	0.862182757	-0.003405752	-2.249880663	-0.044289159	-1.422465003
-1.080563549	-0.954809756	0.010217413	-0.322224522	-0.477294855	-0.804348643	-2.104600628	-0.017029548	-0.126347925	0.842592259	-1.902810954	0.531447525	0.611662814	-0.872103029	0.140092436	-0.307908216	0.45451733	-1.368372038	0.044289159
